样本索引,源视频文件名,预测标签,真实标签,吸吮行为次数,吸吮行为时长(秒),手脚活动次数,手脚活动时长(秒),皱眉次数,皱眉时长(秒),总行为次数,总持续时间(秒)
47,240717(9.03.26）,饱腹,饥饿,0,0.0,0,0.0,0,0.0,0,0.0
48,240717(9.03.26）,饱腹,饥饿,0,0.0,0,0.0,0,0.0,0,0.0
49,240717(9.03.26）,饱腹,饥饿,0,0.0,0,0.0,0,0.0,0,0.0
50,240717(9.03.26）,饱腹,饥饿,0,0.0,0,0.0,0,0.0,0,0.0
51,240717(9.03.26）,饱腹,饥饿,0,0.0,0,0.0,0,0.0,0,0.0
52,240717(9.03.26）,饱腹,饥饿,1,1.0,0,0.0,0,0.0,2,1.0
60,240717(9.03.26）,饥饿,饱腹,18,28.0,0,0.0,0,0.0,38,29.0
61,240717(9.03.26）,饥饿,饱腹,18,28.0,0,0.0,0,0.0,38,29.0
62,240717(9.03.26）,饥饿,饱腹,17,27.0,0,0.0,0,0.0,36,28.0
63,240717(9.03.26）,饥饿,饱腹,14,22.0,0,0.0,0,0.0,30,23.0
64,240717(9.03.26）,饥饿,饱腹,12,19.0,0,0.0,0,0.0,26,20.0
65,240717(9.03.26）,饥饿,饱腹,9,15.0,0,0.0,0,0.0,22,17.0
68,240717(9.03.26）,微饿,饱腹,0,0.0,0,0.0,0,0.0,0,0.0
69,240717(9.03.26）,微饿,饱腹,0,0.0,0,0.0,0,0.0,0,0.0
70,240717(9.03.26）,饥饿,饱腹,0,0.0,0,0.0,0,0.0,0,0.0
75,240717(9.03.26）,中性,饱腹,0,0.0,0,0.0,0,0.0,2,4.0
76,240717(9.03.26）,中性,饱腹,0,0.0,0,0.0,0,0.0,2,4.0
77,240717(9.03.26）,中性,饱腹,0,0.0,0,0.0,0,0.0,2,4.0
81,240717(9.03.26）,中性,饱腹,0,0.0,0,0.0,0,0.0,0,0.0
82,240717(9.03.26）,中性,饱腹,0,0.0,0,0.0,0,0.0,0,0.0
83,240717(9.03.26）,中性,饱腹,0,0.0,0,0.0,0,0.0,0,0.0
84,240717(9.03.26）,中性,饱腹,0,0.0,0,0.0,0,0.0,0,0.0
85,240717(9.03.26）,中性,饱腹,0,0.0,0,0.0,0,0.0,0,0.0
86,240717(9.03.26）,中性,饱腹,0,0.0,0,0.0,0,0.0,0,0.0
87,240717(9.03.26）,中性,饱腹,0,0.0,0,0.0,0,0.0,2,247.0
88,240717(9.03.26）,中性,饱腹,0,0.0,0,0.0,0,0.0,2,247.0
90,240717(9.03.26）,饱腹,中性,0,0.0,0,0.0,0,0.0,0,0.0
94,240717(9.03.26）,饱腹,中性,0,0.0,0,0.0,0,0.0,2,92.0
95,240717(9.03.26）,饱腹,中性,0,0.0,0,0.0,0,0.0,2,92.0
96,240717(9.03.26）,饱腹,中性,0,0.0,0,0.0,0,0.0,2,92.0
97,240717(9.03.26）,饱腹,中性,0,0.0,0,0.0,0,0.0,2,92.0
100,240717(9.03.26）,饥饿,中性,0,0.0,0,0.0,0,0.0,0,0.0
101,240717(9.03.26）,微饿,中性,0,0.0,0,0.0,0,0.0,0,0.0
104,240717（13.00.40）,饥饿,微饿,2,11.0,2,3.0,2,2.0,17,27.0
105,240717（13.00.40）,饥饿,微饿,2,11.0,2,3.0,2,2.0,12,19.0
106,240717（13.00.40）,饥饿,微饿,2,8.0,5,21.0,2,2.0,16,31.0
107,240717（13.00.40）,饥饿,微饿,2,8.0,8,34.0,2,2.0,24,48.0
108,240717（13.00.40）,饥饿,微饿,3,22.0,10,53.0,2,2.0,28,67.0
109,240717（13.00.40）,饥饿,微饿,2,17.0,10,53.0,2,2.0,26,62.0
110,240717（13.00.40）,饥饿,微饿,2,17.0,8,50.0,0,0.0,18,54.0
111,240717（13.00.40）,饥饿,微饿,2,17.0,8,50.0,0,0.0,18,54.0
112,240717（13.00.40）,饥饿,微饿,2,17.0,9,58.0,0,0.0,20,62.0
113,240717（13.00.40）,饥饿,微饿,2,17.0,9,58.0,0,0.0,20,62.0
114,240717（13.00.40）,饥饿,微饿,2,17.0,9,58.0,0,0.0,20,62.0
115,240717（13.00.40）,饥饿,微饿,2,17.0,9,58.0,0,0.0,20,62.0
117,240717（13.00.40）,饥饿,微饿,2,6.0,8,56.0,3,17.0,20,61.0
118,240717（13.00.40）,饥饿,微饿,2,6.0,7,51.0,3,17.0,18,56.0
119,240717（13.00.40）,饥饿,微饿,2,6.0,7,51.0,3,17.0,18,56.0
120,240717（13.00.40）,饥饿,微饿,2,6.0,7,51.0,3,17.0,18,56.0
122,240717（13.00.40）,饱腹,微饿,3,7.0,6,43.0,3,17.0,18,49.0
123,240717（13.00.40）,饱腹,微饿,4,12.0,6,43.0,3,17.0,20,54.0
124,240717（13.00.40）,饥饿,微饿,4,12.0,6,43.0,3,17.0,20,54.0
125,240717（13.00.40）,饱腹,饥饿,5,13.0,6,43.0,3,17.0,22,55.0
126,240717（13.00.40）,饱腹,饥饿,4,8.0,4,20.0,2,13.0,16,28.0
127,240717（13.00.40）,微饿,饥饿,6,11.0,0,0.0,0,0.0,12,11.0
128,240717（13.00.40）,微饿,饥饿,6,11.0,0,0.0,0,0.0,12,11.0
129,240717（13.00.40）,微饿,饥饿,7,13.0,0,0.0,0,0.0,14,13.0
132,240717（13.00.40）,饱腹,饥饿,7,15.0,1,16.0,0,0.0,16,31.0
133,240717（13.00.40）,饱腹,饥饿,6,10.0,1,16.0,0,0.0,14,26.0
135,240717（13.00.40）,饱腹,饥饿,5,9.0,2,23.0,0,0.0,14,32.0
138,240717（13.00.40）,微饿,饥饿,2,5.0,2,23.0,1,5.0,10,33.0
139,240717（13.00.40）,微饿,饥饿,1,3.0,3,39.0,1,5.0,10,47.0
140,240717（13.00.40）,微饿,饥饿,0,0.0,3,39.0,1,5.0,8,44.0
141,240717（13.00.40）,微饿,饥饿,0,0.0,2,23.0,1,5.0,6,28.0
150,240717（13.00.40）,微饿,饥饿,11,25.0,0,0.0,0,0.0,22,25.0
169,240717（13.00.40）,中性,饱腹,0,0.0,0,0.0,0,0.0,8,109.0
170,240717（13.00.40）,中性,饱腹,0,0.0,0,0.0,0,0.0,8,109.0
171,240717（13.00.40）,中性,饱腹,0,0.0,0,0.0,0,0.0,8,109.0
173,240717（13.00.40）,中性,饱腹,0,0.0,0,0.0,0,0.0,10,115.0
179,240717（13.00.40）,中性,饱腹,0,0.0,0,0.0,0,0.0,14,180.0
182,240717（13.00.40）,中性,饱腹,0,0.0,0,0.0,0,0.0,14,147.0
183,240717（13.00.40）,中性,饱腹,0,0.0,0,0.0,0,0.0,14,147.0
184,240717（13.00.40）,中性,饱腹,0,0.0,0,0.0,0,0.0,16,217.0
186,240717（13.00.40）,饱腹,中性,0,0.0,0,0.0,0,0.0,18,212.0
188,240717（13.00.40）,饱腹,中性,0,0.0,0,0.0,0,0.0,12,171.0
193,240717（13.00.40）,饱腹,中性,0,0.0,0,0.0,0,0.0,8,129.0
197,240717（13.00.40）,饱腹,中性,0,0.0,0,0.0,0,0.0,6,160.0
198,240717（13.00.40）,饱腹,中性,0,0.0,0,0.0,0,0.0,6,160.0
200,240717（13.00.40）,饱腹,中性,0,0.0,0,0.0,0,0.0,8,126.0
202,240717（13.00.40）,饱腹,中性,0,0.0,0,0.0,0,0.0,12,209.0
205,240717（13.00.40）,饱腹,中性,0,0.0,0,0.0,0,0.0,10,143.0
213,李鑫鑫之子240729（09:05:06）,饥饿,微饿,0,0.0,1,9.0,0,0.0,3,9.0
214,李鑫鑫之子240729（09:05:06）,饥饿,微饿,0,0.0,3,61.0,1,45.0,10,61.0
216,李鑫鑫之子240729（09:05:06）,饥饿,微饿,0,0.0,7,122.0,3,92.0,24,122.0
217,李鑫鑫之子240729（09:05:06）,饥饿,微饿,0,0.0,9,140.0,4,107.0,31,140.0
218,李鑫鑫之子240729（09:05:06）,饥饿,微饿,0,0.0,10,181.0,5,148.0,36,181.0
223,李鑫鑫之子240729（09:05:06）,饥饿,微饿,0,0.0,12,256.0,7,230.0,46,265.0
224,李鑫鑫之子240729（09:05:06）,饥饿,微饿,0,0.0,11,234.0,6,211.0,41,243.0
225,李鑫鑫之子240729（09:05:06）,饥饿,微饿,0,0.0,9,196.0,5,183.0,34,205.0
226,李鑫鑫之子240729（09:05:06）,饥饿,微饿,0,0.0,7,177.0,4,168.0,27,186.0
228,李鑫鑫之子240729（09:05:06）,饥饿,微饿,0,0.0,6,241.0,4,233.0,25,250.0
231,李鑫鑫之子240729（09:05:06）,饥饿,微饿,0,0.0,3,119.0,2,115.0,13,128.0
232,李鑫鑫之子240729（09:05:06）,饥饿,微饿,0,0.0,3,119.0,2,115.0,13,128.0
233,李鑫鑫之子240729（09:05:06）,饥饿,微饿,0,0.0,2,115.0,1,106.0,7,115.0
234,李鑫鑫之子240729（09:05:06）,饥饿,微饿,0,0.0,5,221.0,1,190.0,13,221.0
235,李鑫鑫之子240729（09:05:06）,饥饿,微饿,0,0.0,5,221.0,1,190.0,13,221.0
236,李鑫鑫之子240729（09:05:06）,饥饿,微饿,0,0.0,5,221.0,1,190.0,13,221.0
237,李鑫鑫之子240729（09:05:06）,饥饿,微饿,0,0.0,3,22.0,0,0.0,6,22.0
238,李鑫鑫之子240729（09:05:06）,饥饿,微饿,0,0.0,7,134.0,2,106.0,20,134.0
239,李鑫鑫之子240729（09:05:06）,饥饿,微饿,0,0.0,7,134.0,2,106.0,20,134.0
240,李鑫鑫之子240729（09:05:06）,饥饿,微饿,0,0.0,9,194.0,3,151.0,27,194.0
241,李鑫鑫之子240729（09:05:06）,饥饿,微饿,0,0.0,9,194.0,3,151.0,27,194.0
242,李鑫鑫之子240729（09:05:06）,饥饿,微饿,0,0.0,9,194.0,3,151.0,27,194.0
245,李鑫鑫之子240729（09:05:06）,微饿,饥饿,0,0.0,8,216.0,5,188.0,32,225.0
247,李鑫鑫之子240729（09:05:06）,微饿,饥饿,0,0.0,10,259.0,6,215.0,39,268.0
250,李鑫鑫之子240729（09:05:06）,微饿,饥饿,2,6.0,5,168.0,4,145.0,29,189.0
259,李鑫鑫之子240729（09:05:06）,微饿,饥饿,2,6.0,1,35.0,0,0.0,10,54.0
260,李鑫鑫之子240729（09:05:06）,微饿,饥饿,1,3.0,1,35.0,0,0.0,4,38.0
262,李鑫鑫之子240729（09:05:06）,微饿,饥饿,0,0.0,7,182.0,3,113.0,22,182.0
263,李鑫鑫之子240729（09:05:06）,微饿,饥饿,0,0.0,8,217.0,4,148.0,27,217.0
265,李鑫鑫之子240729（09:05:06）,微饿,饥饿,0,0.0,13,278.0,6,174.0,43,278.0
267,李鑫鑫之子240729（09:05:06）,微饿,饥饿,0,0.0,11,142.0,5,73.0,36,142.0
268,李鑫鑫之子240729（09:05:06）,微饿,饥饿,0,0.0,12,148.0,5,73.0,38,148.0
269,李鑫鑫之子240729（09:05:06）,微饿,饥饿,0,0.0,12,148.0,5,73.0,38,148.0
272,李鑫鑫之子240729（09:05:06）,饱腹,饥饿,0,0.0,7,172.0,3,131.0,23,172.0
279,李鑫鑫之子240729（09:05:06）,饥饿,饱腹,0,0.0,0,0.0,0,0.0,0,0.0
280,李鑫鑫之子240729（09:05:06）,中性,饱腹,0,0.0,0,0.0,0,0.0,0,0.0
281,李鑫鑫之子240729（09:05:06）,中性,饱腹,0,0.0,0,0.0,0,0.0,0,0.0
284,李鑫鑫之子240729（09:05:06）,中性,饱腹,0,0.0,0,0.0,0,0.0,0,0.0
285,李鑫鑫之子240729（09:05:06）,饥饿,饱腹,0,0.0,0,0.0,0,0.0,0,0.0
286,李鑫鑫之子240729（09:05:06）,饥饿,饱腹,0,0.0,0,0.0,0,0.0,0,0.0
287,李鑫鑫之子240729（09:05:06）,饥饿,饱腹,0,0.0,0,0.0,0,0.0,0,0.0
290,李鑫鑫之子240729（09:05:06）,中性,饱腹,0,0.0,0,0.0,0,0.0,0,0.0
291,李鑫鑫之子240729（09:05:06）,中性,饱腹,0,0.0,0,0.0,0,0.0,2,8.0
292,李鑫鑫之子240729（09:05:06）,中性,饱腹,0,0.0,0,0.0,0,0.0,2,8.0
294,李鑫鑫之子240729（09:05:06）,中性,饱腹,0,0.0,0,0.0,0,0.0,2,8.0
296,李鑫鑫之子240729（09:05:06）,中性,饱腹,0,0.0,0,0.0,0,0.0,6,94.0
303,李鑫鑫之子240729（09:05:06）,饱腹,中性,0,0.0,0,0.0,0,0.0,10,227.0
304,李鑫鑫之子240729（09:05:06）,饱腹,中性,0,0.0,0,0.0,0,0.0,12,230.0
318,李鑫鑫之子240729（09:05:06）,饱腹,中性,0,0.0,0,0.0,0,0.0,24,268.0
323,张祖善20240905（13:57:31）,饥饿,微饿,1,1.0,1,16.0,0,0.0,7,18.0
324,张祖善20240905（13:57:31）,饥饿,微饿,1,1.0,1,16.0,0,0.0,7,18.0
325,张祖善20240905（13:57:31）,饥饿,微饿,1,1.0,1,16.0,0,0.0,7,18.0
326,张祖善20240905（13:57:31）,饥饿,微饿,1,1.0,1,16.0,0,0.0,7,18.0
327,张祖善20240905（13:57:31）,饥饿,微饿,2,4.0,4,25.0,0,0.0,13,27.0
328,张祖善20240905（13:57:31）,饥饿,微饿,2,4.0,5,59.0,0,0.0,15,61.0
332,张祖善20240905（13:57:31）,饥饿,微饿,3,12.0,7,57.0,0,0.0,16,63.0
333,张祖善20240905（13:57:31）,饥饿,微饿,3,12.0,8,88.0,0,0.0,18,94.0
334,张祖善20240905（13:57:31）,饥饿,微饿,3,12.0,8,88.0,0,0.0,20,99.0
336,张祖善20240905（13:57:31）,饥饿,微饿,3,12.0,8,88.0,0,0.0,20,99.0
337,张祖善20240905（13:57:31）,饥饿,微饿,2,9.0,4,45.0,0,0.0,12,56.0
338,张祖善20240905（13:57:31）,饥饿,微饿,2,9.0,4,45.0,0,0.0,12,56.0
340,张祖善20240905（13:57:31）,饱腹,微饿,0,0.0,1,31.0,0,0.0,4,36.0
341,张祖善20240905（13:57:31）,饱腹,微饿,0,0.0,2,77.0,0,0.0,6,82.0
342,张祖善20240905（13:57:31）,饥饿,微饿,0,0.0,1,46.0,0,0.0,4,51.0
344,张祖善20240905（13:57:31）,饥饿,微饿,0,0.0,2,59.0,0,0.0,4,59.0
345,张祖善20240905（13:57:31）,饥饿,微饿,0,0.0,2,59.0,0,0.0,4,59.0
346,张祖善20240905（13:57:31）,饥饿,微饿,0,0.0,2,59.0,0,0.0,4,59.0
347,张祖善20240905（13:57:31）,饥饿,微饿,0,0.0,2,59.0,0,0.0,4,59.0
352,张祖善20240905（13:57:31）,饱腹,饥饿,0,0.0,0,0.0,0,0.0,0,0.0
353,张祖善20240905（13:57:31）,中性,饥饿,0,0.0,0,0.0,0,0.0,0,0.0
354,张祖善20240905（13:57:31）,中性,饥饿,0,0.0,0,0.0,0,0.0,0,0.0
355,张祖善20240905（13:57:31）,微饿,饥饿,0,0.0,1,10.0,0,0.0,2,10.0
356,张祖善20240905（13:57:31）,微饿,饥饿,0,0.0,1,10.0,0,0.0,2,10.0
358,张祖善20240905（13:57:31）,微饿,饥饿,0,0.0,1,10.0,0,0.0,2,10.0
359,张祖善20240905（13:57:31）,微饿,饥饿,0,0.0,1,10.0,0,0.0,2,10.0
361,张祖善20240905（13:57:31）,微饿,饥饿,0,0.0,2,42.0,0,0.0,4,42.0
362,张祖善20240905（13:57:31）,微饿,饥饿,0,0.0,2,42.0,0,0.0,4,42.0
363,张祖善20240905（13:57:31）,微饿,饥饿,0,0.0,2,42.0,0,0.0,4,42.0
364,张祖善20240905（13:57:31）,微饿,饥饿,0,0.0,1,32.0,0,0.0,2,32.0
366,张祖善20240905（13:57:31）,微饿,饥饿,0,0.0,1,32.0,0,0.0,2,32.0
367,张祖善20240905（13:57:31）,微饿,饥饿,0,0.0,1,32.0,0,0.0,2,32.0
368,张祖善20240905（13:57:31）,微饿,饥饿,0,0.0,1,32.0,0,0.0,2,32.0
370,张祖善20240905（13:57:31）,中性,饥饿,0,0.0,0,0.0,0,0.0,0,0.0
371,张祖善20240905（13:57:31）,中性,饥饿,0,0.0,0,0.0,0,0.0,0,0.0
372,张祖善20240905（13:57:31）,中性,饥饿,0,0.0,0,0.0,0,0.0,0,0.0
373,张祖善20240905（13:57:31）,中性,饥饿,0,0.0,0,0.0,0,0.0,0,0.0
374,张祖善20240905（13:57:31）,中性,饥饿,0,0.0,0,0.0,0,0.0,0,0.0
375,张祖善20240905（13:57:31）,中性,饥饿,0,0.0,0,0.0,0,0.0,0,0.0
376,张祖善20240905（13:57:31）,中性,饥饿,0,0.0,0,0.0,0,0.0,0,0.0
377,张祖善20240905（13:57:31）,中性,饥饿,0,0.0,0,0.0,0,0.0,0,0.0
388,张祖善20240905（13:57:31）,中性,饱腹,0,0.0,0,0.0,0,0.0,0,0.0
398,张祖善20240905（13:57:31）,中性,饱腹,0,0.0,0,0.0,0,0.0,6,22.0
399,张祖善20240905（13:57:31）,饥饿,饱腹,0,0.0,0,0.0,0,0.0,0,0.0
402,张祖善20240905（13:57:31）,中性,饱腹,0,0.0,0,0.0,0,0.0,0,0.0
403,张祖善20240905（13:57:31）,中性,饱腹,0,0.0,0,0.0,0,0.0,0,0.0
406,张祖善20240905（13:57:31）,中性,饱腹,0,0.0,0,0.0,0,0.0,2,15.0
407,张祖善20240905（13:57:31）,中性,饱腹,0,0.0,0,0.0,0,0.0,2,15.0
408,张祖善20240905（13:57:31）,饱腹,中性,0,0.0,0,0.0,0,0.0,2,15.0
409,张祖善20240905（13:57:31）,饱腹,中性,0,0.0,0,0.0,0,0.0,2,15.0
410,张祖善20240905（13:57:31）,饱腹,中性,0,0.0,0,0.0,0,0.0,2,15.0
411,张祖善20240905（13:57:31）,饱腹,中性,0,0.0,0,0.0,0,0.0,2,15.0
412,张祖善20240905（13:57:31）,饱腹,中性,0,0.0,0,0.0,0,0.0,2,15.0
413,张祖善20240905（13:57:31）,饱腹,中性,0,0.0,0,0.0,0,0.0,2,15.0
416,张祖善20240905（13:57:31）,饱腹,中性,0,0.0,0,0.0,0,0.0,0,0.0
418,2024-09-10 110740,饥饿,微饿,3,25.0,3,46.0,1,3.0,17,70.0
421,2024-09-10 110740,微饿,饥饿,3,28.0,8,106.0,1,3.0,22,123.0
422,2024-09-10 110740,微饿,饥饿,3,28.0,9,109.0,1,3.0,24,126.0
423,2024-09-10 110740,微饿,饥饿,3,28.0,9,109.0,1,3.0,24,126.0
424,2024-09-10 110740,微饿,饥饿,3,28.0,8,85.0,1,3.0,22,102.0
425,2024-09-10 110740,微饿,饥饿,2,14.0,7,71.0,1,3.0,20,88.0
430,2024-09-10 110740,微饿,饥饿,0,0.0,7,72.0,0,0.0,14,72.0
433,2024-09-10 110740,微饿,饥饿,0,0.0,6,63.0,0,0.0,12,63.0
434,2024-09-10 110740,微饿,饥饿,0,0.0,6,63.0,0,0.0,12,63.0
435,2024-09-10 110740,微饿,饥饿,0,0.0,6,63.0,0,0.0,12,63.0
436,2024-09-10 110740,微饿,饥饿,0,0.0,2,24.0,0,0.0,4,24.0
437,2024-09-10 110740,微饿,饥饿,1,6.0,7,66.0,1,10.0,15,66.0
439,2024-09-10 110740,微饿,饥饿,1,6.0,6,49.0,1,10.0,15,55.0
440,2024-09-10 110740,微饿,饥饿,1,6.0,6,49.0,1,10.0,15,55.0
441,2024-09-10 110740,微饿,饥饿,1,6.0,6,49.0,1,10.0,15,55.0
442,2024-09-10 110740,微饿,饥饿,1,6.0,5,42.0,1,10.0,13,48.0
443,2024-09-10 110740,微饿,饥饿,1,6.0,5,42.0,1,10.0,13,48.0
459,2024-09-10 110740,中性,饱腹,0,0.0,0,0.0,0,0.0,8,82.0
460,2024-09-10 110740,中性,饱腹,0,0.0,0,0.0,0,0.0,10,92.0
461,2024-09-10 110740,中性,饱腹,0,0.0,0,0.0,0,0.0,10,92.0
462,2024-09-10 110740,中性,饱腹,0,0.0,0,0.0,0,0.0,10,92.0
463,2024-09-10 110740,中性,饱腹,0,0.0,0,0.0,0,0.0,12,208.0
464,2024-09-10 110740,中性,饱腹,0,0.0,0,0.0,0,0.0,12,208.0
465,2024-09-10 110740,中性,饱腹,0,0.0,0,0.0,0,0.0,12,208.0
466,2024-09-10 110740,中性,饱腹,0,0.0,0,0.0,0,0.0,10,207.0
467,2024-09-10 110740,中性,饱腹,0,0.0,0,0.0,0,0.0,8,171.0
468,2024-09-10 110740,中性,饱腹,0,0.0,0,0.0,0,0.0,6,130.0
469,2024-09-10 110740,中性,饱腹,0,0.0,0,0.0,0,0.0,2,116.0
470,2024-09-10 110740,微饿,饱腹,0,0.0,0,0.0,0,0.0,0,0.0
471,2024-09-10 110740,中性,饱腹,0,0.0,0,0.0,0,0.0,0,0.0
472,2024-09-10 110740,中性,饱腹,0,0.0,0,0.0,0,0.0,0,0.0
473,2024-09-10 110740,微饿,饱腹,0,0.0,0,0.0,0,0.0,0,0.0
474,2024-09-10 110740,微饿,饱腹,0,0.0,0,0.0,0,0.0,0,0.0
475,2024-09-10 110740,微饿,饱腹,0,0.0,0,0.0,0,0.0,0,0.0
476,2024-09-10 110740,微饿,饱腹,0,0.0,0,0.0,0,0.0,0,0.0
477,2024-09-10 110740,微饿,饱腹,0,0.0,0,0.0,0,0.0,0,0.0
478,2024-09-10 110740,微饿,饱腹,0,0.0,0,0.0,0,0.0,0,0.0
479,2024-09-10 110740,饥饿,中性,0,0.0,0,0.0,0,0.0,0,0.0
480,2024-09-10 110740,微饿,中性,0,0.0,0,0.0,0,0.0,0,0.0
481,2024-09-10 110740,饥饿,中性,0,0.0,0,0.0,0,0.0,0,0.0
483,2024-09-10 110740,微饿,中性,0,0.0,0,0.0,0,0.0,0,0.0
484,2024-09-10 110740,微饿,中性,0,0.0,0,0.0,0,0.0,0,0.0
485,2024-09-10 110740,微饿,中性,0,0.0,0,0.0,0,0.0,0,0.0
488,2024-09-10 110740,微饿,中性,0,0.0,0,0.0,0,0.0,0,0.0
489,2024-09-10 110740,饥饿,中性,0,0.0,0,0.0,0,0.0,0,0.0
490,2024-09-10 110740,饥饿,中性,0,0.0,0,0.0,0,0.0,0,0.0
491,2024-09-10 110740,微饿,中性,0,0.0,0,0.0,0,0.0,0,0.0
492,2024-09-10 110740,微饿,中性,0,0.0,0,0.0,0,0.0,0,0.0
493,2024-09-10 110740,微饿,中性,0,0.0,0,0.0,0,0.0,0,0.0
494,2024-09-10 110740,微饿,中性,0,0.0,0,0.0,0,0.0,0,0.0
495,2024-09-10 110740,微饿,中性,0,0.0,0,0.0,0,0.0,0,0.0
496,2024-09-10 110740,微饿,中性,0,0.0,0,0.0,0,0.0,0,0.0
497,2024-09-10 110740,微饿,中性,0,0.0,0,0.0,0,0.0,0,0.0
498,2024-09-10 110740,微饿,中性,0,0.0,0,0.0,0,0.0,0,0.0
499,2024-09-10 110740,微饿,中性,0,0.0,0,0.0,0,0.0,0,0.0
501,2024-09-10 110740,微饿,中性,0,0.0,0,0.0,0,0.0,0,0.0
502,2024-09-10 110740,微饿,中性,0,0.0,0,0.0,0,0.0,0,0.0
503,2024-09-10 110740,微饿,中性,0,0.0,0,0.0,0,0.0,0,0.0
504,2024-09-10 110740,微饿,中性,0,0.0,0,0.0,0,0.0,0,0.0
506,2024-09-10 110740,微饿,中性,0,0.0,0,0.0,0,0.0,0,0.0
507,2024-09-10 110740,微饿,中性,0,0.0,0,0.0,0,0.0,0,0.0
508,2024-09-10 110740,微饿,中性,0,0.0,0,0.0,0,0.0,0,0.0
513,2024-10-15 143045,饥饿,微饿,1,4.0,1,25.0,1,2.0,7,31.0
514,2024-10-15 143045,饥饿,微饿,1,4.0,2,45.0,0,0.0,6,49.0
516,2024-10-15 143045,饥饿,微饿,1,4.0,2,45.0,0,0.0,6,49.0
517,2024-10-15 143045,饥饿,微饿,0,0.0,2,45.0,0,0.0,4,45.0
518,2024-10-15 143045,饥饿,微饿,0,0.0,2,45.0,0,0.0,4,45.0
519,2024-10-15 143045,饥饿,微饿,1,3.0,2,45.0,0,0.0,10,64.0
520,2024-10-15 143045,饥饿,微饿,2,8.0,3,46.0,2,2.0,16,71.0
521,2024-10-15 143045,饥饿,微饿,3,12.0,8,88.0,4,10.0,27,113.0
522,2024-10-15 143045,饥饿,微饿,3,12.0,8,92.0,5,12.0,29,119.0
523,2024-10-15 143045,饥饿,微饿,3,12.0,8,90.0,5,12.0,29,117.0
524,2024-10-15 143045,饥饿,微饿,3,12.0,8,90.0,5,12.0,29,117.0
525,2024-10-15 143045,饥饿,微饿,3,12.0,8,90.0,5,12.0,29,117.0
526,2024-10-15 143045,饥饿,微饿,3,12.0,8,90.0,5,12.0,29,117.0
527,2024-10-15 143045,饥饿,微饿,3,12.0,8,90.0,5,12.0,29,117.0
